EcoBoundaryName,AdminBoundaryName,SPUID,DMID,Name,DMStructureID,DMRow,DMColumn,Proportion,Source,Sink
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,24,24,1,Black Carbon,Black Carbon
Boreal Shield East,Labrador,4,401,Wildfire for Labrador - Boreal Shield East (NIR2011),2,25,24,1,Peat,Black Carbon
Atlantic Maritime,Nova Scotia,5,362,Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011),2,1,20,1,Softwood Merchantable,Softwood Stem Snag
Atlantic Maritime,Nova Scotia,5,362,Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011),2,2,13,0.014902,Softwood Foliage,Aboveground Very Fast DOM
Atlantic Maritime,Nova Scotia,5,362,Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011),2,2,26,0.886588,Softwood Foliage,CO2
Atlantic Maritime,Nova Scotia,5,362,Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011),2,2,27,0.009851,Softwood Foliage,CH4
Atlantic Maritime,Nova Scotia,5,362,Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011),2,2,28,0.088659,Softwood Foliage,CO
Atlantic Maritime,Nova Scotia,5,362,Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011),2,3,21,0.807299,Softwood Other,Softwood Branch Snag
Atlantic Maritime,Nova Scotia,5,362,Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011),2,3,26,0.173431,Softwood Other,CO2
Atlantic Maritime,Nova Scotia,5,362,Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011),2,3,27,0.001927,Softwood Other,CH4
