NFIREID,Unchanged to very low,Low,Moderate,High,Post-fire havest,NoData
339,11646.72,12071.7,154445.31,76824.99,0,4980.33
340,12770.64,7846.83,84844.62,60850.26,3225.87,7830.45
341,11448.27,103733.28,61244.01,107519.04,0,53136.45
342,13911.39,36165.87,19142.28,41669.1,594.09,0.09
343,7216.38,2068.47,68252.49,28278.18,4549.23,0
344,12278.25,2628.18,25812.99,26657.64,6132.51,0.18
345,29450.07,9836.37,253818.81,49843.35,11772.81,0.99
346,12850.02,25035.03,683863.74,209262.33,0,3142.08
347,28689.57,44390.25,63376.02,290770.47,0,0
348,30539.79,39551.4,58578.84,140479.56,447.48,1.35
349,10724.76,1403.01,38950.74,372718.08,0,10.17
350,3902.58,1185.03,14247.36,88959.33,1782.54,2.79
351,12596.04,1107,13576.05,41915.97,275.49,0.27
352,6117.84,1776.69,12107.16,33929.82,395.73,0.18
353,423.09,382.68,411.75,20632.23,2354.4,0.45
354,19105.47,5588.91,68186.25,383886.45,39674.97,0
355,1861.2,3268.89,13496.22,36235.44,2.07,0.09
356,3991.59,8836.29,6522.57,38789.28,4379.04,0.09
357,2381.67,8597.52,7254.18,12416.13,628.65,0.18
358,268.56,228.6,81.18,2646.99,62.46,0.36
359,15983.01,18950.22,13595.4,388286.55,6175.8,10.89
360,1323.9,946.35,3903.21,21628.26,46.17,0.27
361,21549.24,8185.41,101854.71,19656.72,2062.98,0.09
362,21302.46,11963.16,16900.2,180851.94,0,0.63
363,16444.62,4207.77,37018.98,96793.92,23496.12,0
364,10634.67,5050.98,14886.27,82139.04,956.61,0.18
365,12744.36,1637.91,32315.67,63340.74,819.36,0.36
366,15672.69,19033.02,11222.1,138063.96,3923.91,0
367,5796.81,3221.37,65562.66,11967.21,778.77,817.47
368,2.52,0.18,2.16,4.95,0,0
369,45.9,0,0.18,0.09,0,0.09
370,17.1,0,0.18,0.09,0,0.09
371,77.85,0,0,0.09,0,0.18
372,845.01,0.81,0.54,2.25,0,0.09
373,8.55,0.36,0.09,0.27,0,0
374,16.47,0.18,0,0.45,0,0.09
375,91.98,0.18,0.18,3.87,0,0.36
376,7.02,0,0,0,0,0
377,34.56,0,0,0.18,0,0.36
378,10.89,0.09,0,0,0,0
379,99.81,0.18,0.45,1.44,0,0.27
380,3.78,0,0,0,0,0
381,106.47,0,0.09,0.36,0,0.18
382,45.09,0,2.97,1.62,0,0.09
383,7.29,0,0,0,0,0.09
384,11.34,0,0.27,0.54,0,0
385,3.69,0,1.71,0,0,0.09
386,13.77,0.54,9.72,0,0,0
387,4.05,3.06,7.11,0.54,0,0
388,3.6,0.18,0.72,0,0,0.18
389,19.44,0.18,0.45,0,0,1.71
390,2.25,0.27,1.71,0.18,0,0.09
391,2.7,0.36,0.63,0.72,0,0.09
392,6.3,2.16,10.98,3.06,0,0.09
393,13.59,0,1.08,4.41,0,0.18
394,8.37,0.18,4.14,5.31,0,0.09
395,5.13,0.18,5.76,3.69,0,0.18
396,8.64,2.25,12.42,25.02,0,0.09
397,1.35,3.87,0.81,1.89,0,0
398,12.87,1.44,0.45,0.36,0,0
399,6.12,0,0,0,0,0.09
400,2.16,2.16,2.16,0.81,1.53,0
401,2.79,0.09,0.09,1.44,0,0.09
402,4.41,2.07,14.58,3.96,0,0.09
403,1.44,1.89,0.45,0.81,0,0.09
404,2.43,0.99,3.96,3.24,0,0.09
405,15.39,0.45,12.15,29.88,1.26,0.18
406,9.09,2.34,9.36,16.65,0,0.09
407,1.08,1.71,0.36,0,0,0.18
408,18.36,20.61,9,11.88,0,0.36
409,14.13,26.19,21.33,60.3,0,0
410,17.46,13.14,4.05,6.75,0,0.18
411,8.37,21.33,7.11,11.43,0,0.09
412,22.41,43.29,4.59,5.94,0,0.27
413,4.41,5.49,1.08,2.16,0,0.18
414,5.04,13.68,3.6,4.23,0,0
415,8.19,7.74,3.33,1.71,0,0
416,11.34,14.04,11.34,20.07,0,0.18
417,2.88,2.25,0.63,0.63,0,0
418,5.04,1.35,0.9,2.7,0,0.09
419,0.18,0.36,0.09,2.07,0.09,0.09
420,9.27,3.15,1.8,31.5,0,0
421,8.37,0.45,0.45,12.15,0,0
422,7.83,0.45,0.09,4.41,0,0.09
423,0.18,0,0.27,8.91,0,0
424,7.56,2.61,0.72,16.65,0,0.27
425,1.8,1.17,0.63,1.53,0,0.27
426,6.75,4.86,1.89,47.07,0,0.45
427,10.62,7.2,4.32,36.18,0,0
428,410.85,138.96,224.91,7913.16,0,0.09
429,4.05,14.13,31.14,3.51,0,0.09
430,8.73,10.8,6.21,3.78,0,0.18
431,10.26,9.99,40.59,15.03,0,0
432,2.25,0.99,1.71,0.45,0,0
433,1.89,1.08,1.53,0.99,0,0.18
434,7.11,3.96,10.08,13.59,1.35,0.45
435,108.99,81.99,240.3,136.26,0,0.54
436,1.08,0.27,0.54,0,0,0
437,1.44,0.9,1.17,0.27,0,0
438,8.19,7.29,9.99,18.27,0,0.27
439,2.97,2.25,2.07,3.87,0,0.45
440,8.01,6.39,9.45,41.67,0,0.09
441,9.09,14.31,38.34,20.16,0,0.27
442,2.43,1.26,2.97,0.54,0,0
443,3.15,3.69,1.98,0,0,0.09
444,0.54,0.9,5.58,13.32,0,0
445,6.66,3.96,9.9,6.93,0,0.18
446,1.8,0.63,0.81,0,0,0
447,42.21,36.18,12.42,206.37,0,0.18
448,2.34,2.07,8.55,7.02,0,0
449,0.99,1.53,3.06,0,0,0
450,4.41,14.22,78.75,46.17,0,0.36
451,1.08,0.54,1.53,0.09,0,0.09
452,5.31,0,0,0,0,0
453,7.11,0.18,4.5,2.52,0,0.18
454,282.42,5.67,5.85,16.38,0,0.18
455,15.75,8.19,1.26,36.54,0,0.18
456,9,3.15,4.32,27.18,0,0.18
457,13.5,2.97,6.66,1.53,0.54,0.18
458,0,0,0,0,0,7.38
459,1.08,1.35,0.36,0,0,0.27
460,2.88,0.99,0.18,0.09,0,0.18
461,1.71,0.72,0.45,0.18,0,0
462,1.17,0.27,0.9,0.99,0,0
463,3.51,3.78,3.87,1.26,1.98,0
464,5.67,6.03,9.45,5.85,3.69,0
465,3.15,2.25,3.6,0,1.35,0
466,3.15,1.53,0.27,0.63,0,0.09
467,0.09,0.27,0.63,3.42,2.16,0.09
468,313.74,21.96,319.32,55.17,9.63,0.09
469,565.65,283.5,644.49,253.53,17.82,0
470,1093.95,237.24,430.92,482.58,17.1,0.09
471,297.72,21.78,112.32,35.91,1.26,0.18
472,5669.64,683.1,3430.35,2226.24,81,0.18
473,69.93,28.89,219.15,117.18,3.06,0
474,101.16,16.56,106.29,35.19,0.63,0.09
475,2535.66,731.16,6120.9,4548.06,289.89,134.73
476,162.72,113.31,863.1,432.18,0,0.27
477,893.88,409.68,2556.09,1047.78,7.29,0.36
478,212.31,177.57,1229.4,217.53,0.27,0
479,104.85,58.95,292.59,55.62,3.51,129.06
480,143.28,17.46,46.08,28.44,15.66,0
481,2230.02,780.3,3811.41,186.48,307.98,0.27
