Y,X,fid,YEAR,NFIREID,BASRC,FIREMAPS,FIREMAPM,FIRECAUS,HS_SDATE,HS_EDATE,AG_SDATE,AG_EDATE,CAPDATE,POLY_HA,ADJ_HA,ADJ_FLAG,ADMIN_AREA,NATPARK,PRESCRIBED,VERSION,GID,dc_median,bui_median,unit_id
54.9165511756019,-99.648419338114,"575",2023,463,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/07/20,,2023/08/08,12.3974004691,12.3974004691,,MB,,,"20240530",2023_463,309.686005,40.9545,"22"
55.5915952751851,-99.638676815932,"576",2023,101,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/23,2023/06/25,2023/06/18,,2023/07/31,1339.24319875,1339.24319875,,MB,,,"20240530",2023_101,208.689499,63.588501,"22"
56.5530502127198,-99.7228240508337,"577",2023,129,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/11,2023/07/01,2023/06/12,,2023/07/31,18720.088679,18720.088679,,MB,,,"20240530",2023_129,191.695007,55.803001,"22"
55.2415428130674,-99.4574675960483,"578",2023,455,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/26,2023/06/26,2023/06/23,,2023/07/25,56.3912913064,56.3912913064,,MB,,,"20240530",2023_455,226.346504,74.021,"22"
55.1617215768285,-99.3504604181425,"579",2023,116,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/24,2023/06/26,2023/06/21,,2023/07/31,762.469096269,762.469096269,,MB,,,"20240530",2023_116,216.204995,70.310997,"22"
54.8594622896775,-99.024634358931,"580",2023,449,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/08/14,,2023/09/08,4.08368594453,4.08368594453,,MB,,,"20240530",2023_449,,,"22"
55.4227531954771,-99.0764449492061,"581",2023,430,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/07/02,,2023/07/22,26.459790337,26.459790337,,MB,,,"20240530",2023_430,241.162003,67.480003,"22"
56.9546760764999,-99.1625891756059,"582",2023,122,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/07/30,,2023/09/17,335.8387408,335.8387408,,MB,,,"20240530",2023_122,256.8125,44.2285,"22"
55.593895014094,-98.9401983412362,"583",2023,436,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/07/22,,2023/08/22,1.02271525122,1.02271525122,,MB,,,"20240530",2023_436,,,"22"
54.968888893495,-98.4591666695953,"584",2023,1117,Agency,Aerial survey,Buffered points,Natural,,,2023/08/12,,2023/08/27,0.39827915802,0.51906351009,true,MB,,,"20240530",2023_1117,,,"22"
55.2555555575701,-98.4472222175057,"585",2023,1101,Agency,Aerial survey,Buffered points,Natural,,,2023/07/02,,2023/07/06,1.69268494032,2.0862283731,true,MB,,,"20240530",2023_1101,,,"22"
56.7105574183671,-98.4597624102224,"586",2023,151,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/29,2023/07/01,2023/06/18,,2023/07/31,1946.63553503,1946.63553503,,MB,,,"20240530",2023_151,177.07,48.805,"22"
55.4336992990107,-98.3070474804458,"587",2023,417,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/06/18,,2023/07/08,4.2365595304,4.2365595304,,MB,,,"20240530",2023_417,,,"22"
56.6553953340803,-98.3333154766765,"588",2023,130,MAFiMS,Sentinel-2,Processed imagery,Natural,2023/06/24,2023/06/30,2023/06/18,,2023/07/31,2292.85741625,2292.85741625,,MB,,,"20240530",2023_130,174.287003,48.018002,"22"
55.3316666639528,-97.7216666648605,"589",2023,1113,Agency,Aerial survey,Buffered points,Human,,,2023/08/04,,2023/08/06,0.0995566493,0.1368789552,true,MB,,,"20240530",2023_1113,,,"22"
55.495832258294,-97.2716239113871,"590",2023,407,MAFiMS,Sentinel-2,Processed imagery,Natural,,,2023/06/08,,2023/06/22,2.40681786753,2.40681786753,,MB,,,"20240530",2023_407,,,"22"
