"","Ecozone","FluxID","Source","Sink","ProcessSynonym","Phase","CORefFluxID","Pseudocode","Notes","SeverityClass","Value","InterimValue","SourceSurfaceCanopy"
"117","HP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.55","TRUE","Canopy"
"118","TC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.76","TRUE","Canopy"
"119","PM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.87","TRUE","Canopy"
"120","AM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Low","0.72","TRUE","Canopy"
"121","BSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"122","TP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"123","TSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"124","BP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"125","BC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.35","TRUE","Canopy"
"126","BSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"127","TSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"128","MC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.26","TRUE","Canopy"
"129","HP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.19","TRUE","Canopy"
"130","TC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.35","TRUE","Canopy"
"131","PM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.62","TRUE","Canopy"
"132","AM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","Mod","0.66","TRUE","Canopy"
"133","BSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"134","TP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"135","TSW","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"136","BP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"137","BC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"138","BSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"139","TSE","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"140","MC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"141","HP","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"142","TC","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"143","PM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"144","AM","4","Softwood Foliage","Softwood Foliage","Green fraction of canopy remaining intact after fire","","NA","IF([(1-Mortality)-CFB]<0,0,[(1-Mortality)-CFB])","Ellen provides","High","0","TRUE","Canopy"
"145","BSW","5","Softwood Foliage","Aboveground Very Fast DOM","Post-fire litterfall (heat-killed but not burned)","","NA","Mortality-CFB","Ellen provides","Low","0.45","TRUE","Canopy"
"146","TP","5","Softwood Foliage","Aboveground Very Fast DOM","Post-fire litterfall (heat-killed but not burned)","","NA","Mortality-CFB","Ellen provides","Low","0.45","TRUE","Canopy"
"147","TSW","5","Softwood Foliage","Aboveground Very Fast DOM","Post-fire litterfall (heat-killed but not burned)","","NA","Mortality-CFB","Ellen provides","Low","0","TRUE","Canopy"
"148","BP","5","Softwood Foliage","Aboveground Very Fast DOM","Post-fire litterfall (heat-killed but not burned)","","NA","Mortality-CFB","Ellen provides","Low","0.45","TRUE","Canopy"
"149","BC","5","Softwood Foliage","Aboveground Very Fast DOM","Post-fire litterfall (heat-killed but not burned)","","NA","Mortality-CFB","Ellen provides","Low","0.24","TRUE","Canopy"
"150","BSE","5","Softwood Foliage","Aboveground Very Fast DOM","Post-fire litterfall (heat-killed but not burned)","","NA","Mortality-CFB","Ellen provides","Low","0.45","TRUE","Canopy"
"151","TSE","5","Softwood Foliage","Aboveground Very Fast DOM","Post-fire litterfall (heat-killed but not burned)","","NA","Mortality-CFB","Ellen provides","Low","0","TRUE","Canopy"
